feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid,p_bh,sig_bh,sig_raw
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_Full,0.0417376889115054,0.0197818832707989,0.0148892331683489,2.803212794076608,0.0050596274016254,0.0125553281441223,0.0709200496788885,50,0.0151788822048762,*,**
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_NoVeh,0.0412597837411014,0.0197925012278581,0.0145887251598134,2.828196657975097,0.0046811040663276,0.0126664078475138,0.0698531596346891,50,0.0140433121989828,*,**
reduced_parking,D3,reduced_parking (binary),RF_Full,-0.0020711890271545,0.0308565342405055,0.0217320499876548,-0.0953057363815716,0.924071986423459,-0.0446652243131822,0.040522846258873,50,0.924071986423459,,
reduced_parking,D3,reduced_parking (binary),RF_NoVeh,0.0042086392798873,0.0316391872975466,0.0218252209195382,0.1928337539126448,0.8470891677765511,-0.0385680076770377,0.0469852862368124,50,0.847089167776551,,
reduced_parking,D3,reduced_parking (binary),GB_Full,-0.023842873670614,0.012025707808154,0.0092259568653214,-2.5843252920718403,0.0097569722530632,-0.0419254168495642,-0.0057603304916639,50,0.0256120521642909,*,**
reduced_parking,D3,reduced_parking (binary),GB_NoVeh,-0.0233509502445849,0.0121062421460272,0.0089931247990587,-2.5965335482755614,0.0094169709134334,-0.0409771509592141,-0.0057247495299558,50,0.024719548647762674,*,**
ped_street_interface,D4a,ped_street_interface (LLM),RF_Full,0.0900664224954277,0.0527617790418572,0.0336462694612678,2.676862069333078,0.0074315221661452,0.0241209461372128,0.1560118988536425,50,0.019507745686131152,*,**
ped_street_interface,D4a,ped_street_interface (LLM),RF_NoVeh,0.0861498136774027,0.054825839681764,0.0341852030200767,2.5200907429687467,0.0117324583876756,0.0191480469538623,0.153151580400943,50,0.030797703267648448,*,*
ped_street_interface,D4a,ped_street_interface (LLM),GB_Full,0.0354416751082384,0.018491377107579,0.0122396535507918,2.895643652098756,0.0037838180240777,0.0114523949654386,0.0594309552510383,50,0.01324336308427195,*,**
ped_street_interface,D4a,ped_street_interface (LLM),GB_NoVeh,0.0373320232157271,0.0185908251376679,0.0123839708341785,3.014543857992163,0.002573659978313,0.0130598863951426,0.0616041600363116,50,0.0090078099240955,**,**
front_setback,D4a,"front_setback (scraped, inv.)",RF_Full,-0.0844038850329803,0.0500669886377083,0.0406540845435336,-2.07614772244098,0.0378802905761894,-0.1640844265627526,-0.0047233435032079,50,0.06629050850833144,†,*
front_setback,D4a,"front_setback (scraped, inv.)",RF_NoVeh,-0.0962822705698488,0.0504166712063367,0.0398894699902172,-2.413726494572668,0.0157903103984105,-0.174464195113066,-0.0181003460266316,50,0.03684405759629117,*,*
