backend,dimension,theta,se,se_within,se_across,pval,p_bh,bh_sig,n_fits
mpnet,emb_007,0.0987167400466741,0.0284297881034107,0.0248147369553551,0.0138737767547762,0.0005160202332901,0.0082563237326418,True,50.0
mpnet,emb_008,-0.0005880638651413,0.025600212288562,0.0199274555335474,0.0160706995858278,0.9816733622215514,0.9816733622215514,False,50.0
mpnet,emb_009,-0.0228890822527016,0.0312362658521968,0.0241455051169008,0.0198166315765024,0.4636970865837857,0.7039422297252302,False,50.0
mpnet,emb_010,0.0623283026484702,0.022272801969757,0.0187660856332525,0.0119963218358564,0.0051355800796426,0.0547795208495216,False,50.0
mpnet,emb_011,0.0564333329690879,0.0248636930904292,0.0180249632338672,0.0171261184893948,0.0232252816428737,0.1473453021203414,False,50.0
mpnet,emb_012,0.0514593410522114,0.0231119674614416,0.0195372490115932,0.0123474264929067,0.0259791298402316,0.1473453021203414,False,50.0
mpnet,emb_013,-0.0823971519927485,0.0231520082916523,0.017773986937621,0.0148357971231078,0.0003723212937276,0.0082563237326418,True,50.0
mpnet,emb_014,-0.0172132786133934,0.0251442648284259,0.0143879782500042,0.0206208665103924,0.4936085443975058,0.7039422297252302,False,50.0
mpnet,emb_015,0.0137914331845255,0.0142637676480385,0.011597864098797,0.0083032894603925,0.3336011684154585,0.6527375223687474,False,50.0
mpnet,emb_016,-0.0089738793934046,0.0234435471839341,0.0159666769469179,0.0171658128802018,0.7018778815852085,0.8984036884290668,False,50.0
mpnet,emb_017,0.0491545810944456,0.0308066768274167,0.0230236509725391,0.0204685816080058,0.1105821339155923,0.3278742737329132,False,50.0
mpnet,emb_018,-0.0067281410094674,0.0268013275008771,0.0169694285677848,0.0207448704477063,0.8017850369497701,0.9816733622215514,False,50.0
mpnet,emb_019,0.0043023427065303,0.0263009449878921,0.0162406850901085,0.0206876739886353,0.8700607687968365,0.9816733622215514,False,50.0
mpnet,emb_020,-0.0219843972040145,0.025180870005491,0.0203994987060375,0.0147626781708405,0.3826306597701672,0.6802322840358528,False,50.0
mpnet,emb_021,-0.0397897832330429,0.0422900055641321,0.0256609135044859,0.0336149087270755,0.346766808758397,0.6527375223687474,False,50.0
mpnet,emb_022,0.0379170870572024,0.0323871733858346,0.0178809357526893,0.0270037244937121,0.2417017165001216,0.5524610662859922,False,50.0
mpnet,emb_023,-0.039336910496271,0.0241347738270617,0.0167877739683416,0.0173394911364576,0.1031257636787827,0.3278742737329132,False,50.0
mpnet,emb_024,-0.0141656114189545,0.02129706378338,0.0172908703667496,0.0124334519645036,0.5059584776150092,0.7039422297252302,False,50.0
mpnet,emb_025,0.0219959038493493,0.028143333997196,0.0178782449800691,0.0217351237611007,0.4344690300644953,0.7039422297252302,False,50.0
mpnet,emb_026,-0.0471694559117136,0.033615484542512,0.0265427857151122,0.0206271987315169,0.1605553629790213,0.3952132011791293,False,50.0
mpnet,emb_027,0.0666124062689344,0.0302434601983607,0.0168237106816036,0.0251322431086349,0.027627244147564,0.1473453021203414,False,50.0
mpnet,emb_028,0.0159129824752125,0.0231406096313932,0.0194079345939162,0.0126023763199961,0.4916638973212777,0.7039422297252302,False,50.0
mpnet,emb_029,0.026535272065669,0.0170224098798315,0.0136077377694243,0.0102270186719086,0.1190334385660374,0.3278742737329132,False,50.0
mpnet,emb_030,0.0521698303343872,0.0323195647238241,0.0263139722901266,0.018765103949936,0.1064868097789379,0.3278742737329132,False,50.0
mpnet,emb_031,0.0428037854940313,0.0277496707762804,0.0158260444301511,0.0227943095066911,0.1229528526498424,0.3278742737329132,False,50.0
multi-qa,emb_000,-0.0640668503242059,0.0241006776576534,0.0201702258834404,0.0131910822667856,0.0078535766165335,0.0359020645327246,True,50.0
multi-qa,emb_001,-0.0028053523186931,0.0358062620965258,0.0230681272972156,0.0273852133153013,0.9375511630793608,0.9677947489851468,False,50.0
multi-qa,emb_002,-0.0535274342627669,0.0235418868666816,0.0147408035313454,0.0183556298855122,0.0229834012457039,0.0791865936353019,False,50.0
multi-qa,emb_003,0.0090174046567851,0.0255920289161389,0.0180113797237638,0.0181808180369002,0.72457423394564,0.874072827980542,False,50.0
multi-qa,emb_004,-0.2685844965001446,0.0743849546665457,0.0592793123478664,0.0449342253556033,0.0003053283370004,0.0032568355946717,True,50.0
multi-qa,emb_005,-0.1209495448987926,0.0305413146825973,0.0243958865264777,0.0183742380285185,7.488875852401655e-05,0.0011982201363842,True,50.0
multi-qa,emb_006,-0.0784111788857379,0.0346946075473146,0.0289835996249482,0.0190700483912045,0.0238188076665539,0.0791865936353019,False,50.0
