feature,theta,se_within,se_across,se_combined,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw,spec,dimension,feature_label
frontage_std,0.076907083059037,0.028645185063714,0.0176407290363994,0.0336413725681651,2.2860863629510253,0.0222492066273568,0.0109712044349396,0.1428429616831344,0.1575260105834981,,*,RF_Full,D3,frontage_std (binary)
transparency_activation,-0.1159609952409238,0.0433302078319118,0.0320332035904578,0.0538853694709834,-2.1519940640542035,0.0313978218855083,-0.2215743786976855,-0.0103476117841622,0.1634178623045084,,*,RF_Full,D3,transparency_activation (LLM)
setback_building_placement,-0.0567716124983731,0.0424537878585128,0.0285535220882893,0.0511627572281052,-1.109627697453076,0.2671594908806927,-0.1570487740152258,0.0435055490184794,0.400739236321039,,,RF_Full,D5,setback_building_placement (LLM)
side_setback,-0.0548570398926923,0.0338828475534331,0.0153276533838628,0.0371884971003808,-1.4751077394878278,0.1401835800256866,-0.1277451548486109,0.0180310750632262,0.306659286816126,,,RF_Full,D5,"side_setback (scraped, inv.)"
rear_setback,0.0396533679187432,0.0273862725899802,0.0069899067529236,0.0282642304474626,1.4029523284722252,0.1606310549989231,-0.0157435058090238,0.0950502416465103,0.306659286816126,,,RF_Full,D5,"rear_setback (scraped, inv.)"
form_based_design,-0.0587678205600211,0.0819435339606088,0.0642362172347259,0.1041202879489888,-0.5644223783631197,0.5724667125860889,-0.2628398349999791,0.1453041938799367,0.6327263665425193,,,RF_Full,D6,form_based_design (LLM)
human_scale_design,-0.0619018774819689,0.0291213862766849,0.0269072689464175,0.0396491646927238,-1.56124039337779,0.1184670416277063,-0.1396128122968047,0.0158090573328668,0.306659286816126,,,RF_Full,D6,human_scale_design (binary)
ped_scale_lang,-0.0803682972505029,0.0488828119739945,0.0395760179499922,0.0628950753498476,-1.2778154220097877,0.2013145153401563,-0.2036403797411373,0.0429037852401313,0.3523004018452735,,,RF_Full,D6,ped_scale_lang (binary)
transit_orientation,0.2805729296079793,0.0686332337041771,0.0329717315637716,0.0761423394111686,3.684847770343452,0.0002288393722987,0.1313366866634639,0.4298091725524947,0.0048056268182737,**,***,RF_Full,D7,transit_orientation (LLM)
transit_orient,-0.0309993051123078,0.0228604676007144,0.0214862078003656,0.0313728880494577,-0.988092172561195,0.3231075088823627,-0.0924890357802521,0.0304904255556364,0.4345979161007118,,,RF_Full,D7,transit_orient (binary)
