feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid
transparency_activation,D4b,transparency_activation (LLM),GB_NoTravel,0.11560959577432733,0.030356209991576965,0.02298606694415112,5.0295509908338,4.916297495656372e-07,0.07055773241756448,0.1606614591310902,50
setback_building_placement,D5,setback_building_placement (LLM),RF_Full,0.08918345823662172,0.053056141218935045,0.038250075400357075,2.3315890832411057,0.019722318676453226,0.014214688045980362,0.16415222842726307,50
setback_building_placement,D5,setback_building_placement (LLM),RF_NoTravel,0.12924495811140269,0.06146700073181691,0.04147563870222721,3.116165589138048,0.0018321935754526532,0.04795420001924176,0.2105357162035636,50
setback_building_placement,D5,setback_building_placement (LLM),GB_Full,0.03887375377008692,0.021369661435407264,0.016229993662205722,2.3951798490600162,0.0166122146147474,0.007063550722850372,0.07068395681732348,50
setback_building_placement,D5,setback_building_placement (LLM),GB_NoTravel,0.10999591878433948,0.026556586719904383,0.02330021722609184,4.720810871289425,2.3490628647326666e-06,0.06432833218923971,0.15566350537943924,50
side_setback,D5,"side_setback (scraped, inv.)",RF_Full,-0.05527928432377769,0.03517215953743287,0.028233258092559558,-1.9579491726583869,0.05023597710790878,-0.11061545335141845,5.6884703863065156e-05,50
side_setback,D5,"side_setback (scraped, inv.)",RF_NoTravel,-0.08408666064244523,0.039324191276563426,0.03221227962829845,-2.610391490845472,0.009043865811919497,-0.14722156857384347,-0.02095175271104699,50
side_setback,D5,"side_setback (scraped, inv.)",GB_Full,0.00013090884067183689,0.013670092210682877,0.012173008791516306,0.010754024983787963,0.9914196948832934,-0.023727749974189572,0.023989567655533246,50
side_setback,D5,"side_setback (scraped, inv.)",GB_NoTravel,0.010282095834196803,0.017793155042022526,0.01686323180597407,0.6097345961024034,0.5420376331304522,-0.022769231168462706,0.04333342283685632,50
rear_setback,D5,"rear_setback (scraped, inv.)",RF_Full,0.08677523406918604,0.028507495211633857,0.022166764221886005,3.9146549853004653,9.053356976056068e-05,0.043329174540498436,0.13022129359787366,50
rear_setback,D5,"rear_setback (scraped, inv.)",RF_NoTravel,0.11517575035972318,0.036278651465704005,0.031058651690803393,3.708330661173783,0.00020863010877148063,0.05430191163737447,0.17604958908207188,50
rear_setback,D5,"rear_setback (scraped, inv.)",GB_Full,0.04746226504515518,0.01450258667135332,0.010200579465229039,4.652898907061206,3.273007337106958e-06,0.027469496671867422,0.06745503341844294,50
rear_setback,D5,"rear_setback (scraped, inv.)",GB_NoTravel,0.08005525606097368,0.019502963225014668,0.014062133245298316,5.692966683254848,1.2485075653164418e-08,0.05249398135438563,0.10761653076756172,50
form_based_design,D6,form_based_design (LLM),RF_Full,0.06626525269757844,0.09309592272773845,0.0710966261282133,0.9320449690267704,0.3513132860193443,-0.07308157393602902,0.2056120793311859,50
form_based_design,D6,form_based_design (LLM),RF_NoTravel,0.15484216979563828,0.10396807273500552,0.08272460026646374,1.8717790028223413,0.06123718434439963,-0.007295067362103197,0.3169794069533798,50
form_based_design,D6,form_based_design (LLM),GB_Full,-0.01434874517631943,0.034211476094319855,0.023338929785948006,-0.6147987636073433,0.5386876259219808,-0.06009220699448664,0.03139471664184777,50
form_based_design,D6,form_based_design (LLM),GB_NoTravel,0.06787174990452502,0.046203187676663995,0.03794819036988566,1.788537193551807,0.07368938054164004,-0.0065053364989206,0.14224883630797064,50
human_scale_design,D6,human_scale_design (binary),RF_Full,-0.0871919145223898,0.03386523723176545,0.03040430032667094,-2.867749416548955,0.004134028140705175,-0.14678324813780425,-0.027600580906975355,50
human_scale_design,D6,human_scale_design (binary),RF_NoTravel,-0.060128347789986235,0.039688226930348264,0.035532546166952284,-1.6922048734551352,0.09060691765202675,-0.12977085855621945,0.009514162976246986,50
