feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid,p_bh,sig_bh,sig_raw
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_Full,0.09094709633580814,0.04367780687141937,0.03092292113452209,2.9410900716709962,0.0032705941646666557,0.030339284615372372,0.1515549080562439,50,0.013736495491599953,*,**
parking_intensity,D3,"parking_intensity (LLM, inv.)",RF_NoACS,0.0407267653583462,0.004946991614620784,0.0045786396681181335,8.894948786193805,5.844624596357368e-19,0.03175279651064823,0.049700734206044164,50,4.091237217450157e-18,***,***
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_Full,0.04173768891150548,0.01978188327079895,0.01488923316834892,2.803212794076608,0.005059627401625435,0.012555328144122396,0.07092004967888856,50,0.015178882204876305,*,**
parking_intensity,D3,"parking_intensity (LLM, inv.)",GB_NoACS,0.03807492347147288,0.004673534063057819,0.0038616012990878978,9.859879496225075,6.21239042550326e-23,0.030506324002607513,0.045643522940338244,50,4.348673297852282e-22,***,***
reduced_parking,D3,reduced_parking (binary),RF_Full,-0.002071189027154575,0.030856534240505506,0.02173204998765485,-0.09530573638157185,0.9240719864234589,-0.044665224313182206,0.04052284625887306,50,0.9240719864234589,,
reduced_parking,D3,reduced_parking (binary),RF_NoACS,-0.03250104337975584,0.004522975136416757,0.003944285516370007,-8.240033142850951,1.721629582879657e-16,-0.04023170093658402,-0.024770385822927656,50,6.025703540078799e-16,***,***
reduced_parking,D3,reduced_parking (binary),GB_Full,-0.023842873670614096,0.012025707808154078,0.009225956865321466,-2.5843252920718403,0.009756972253063259,-0.041925416849564225,-0.0057603304916639675,50,0.025612052164291053,*,**
reduced_parking,D3,reduced_parking (binary),GB_NoACS,-0.032463288509107804,0.004294819083571289,0.0034681340649007296,-9.360447982000666,7.939932142970056e-21,-0.03926070636986973,-0.025665870648345877,50,3.3347715000474236e-20,***,***
ped_street_interface,D4a,ped_street_interface (LLM),RF_Full,0.09006642249542776,0.05276177904185726,0.033646269461267815,2.6768620693330796,0.007431522166145166,0.024120946137212954,0.15601189885364258,50,0.019507745686131058,*,**
ped_street_interface,D4a,ped_street_interface (LLM),RF_NoACS,0.036103220433861646,0.004879549007366545,0.004359042529382666,8.282373982475146,1.2074370217195354e-16,0.02755965406919324,0.044646786798530055,50,5.071235491222049e-16,***,***
ped_street_interface,D4a,ped_street_interface (LLM),GB_Full,0.03544167510823848,0.018491377107579088,0.012239653550791872,2.8956436520987556,0.0037838180240777923,0.011452394965438623,0.05943095525103834,50,0.013243363084272273,*,**
ped_street_interface,D4a,ped_street_interface (LLM),GB_NoACS,0.034392815846285056,0.004635159524663665,0.0037652251360808502,9.134331840269152,6.58119059845923e-20,0.027013110185881664,0.04177252150668845,50,2.3034167094607304e-19,***,***
front_setback,D4a,"front_setback (scraped, inv.)",RF_Full,-0.08440388503298032,0.050066988637708386,0.0406540845435336,-2.0761477224409797,0.03788029057618946,-0.16408442656275268,-0.00472334350320798,50,0.06629050850833156,†,*
front_setback,D4a,"front_setback (scraped, inv.)",RF_NoACS,0.02262183827382443,0.004872155272805027,0.004604647910817793,4.912826933125221,8.977251468966806e-07,0.013596894207133954,0.031646782340514906,50,1.4501713911407917e-06,***,***
front_setback,D4a,"front_setback (scraped, inv.)",GB_Full,0.008034157587660686,0.01742410383360276,0.017549598205858236,0.4577972380574959,0.6470981202818324,-0.02636242283897021,0.04243073801429158,50,0.6794530262959241,,
front_setback,D4a,"front_setback (scraped, inv.)",GB_NoACS,0.022497807810762296,0.004561662124944285,0.0037396200395036125,6.0160678285777385,1.7870471644020502e-09,0.01516828721747096,0.02982732840405363,50,2.8867684963417734e-09,***,***
lot_width,D4a,"lot_width (scraped, inv.)",RF_Full,0.03670537271306239,0.01230808280601451,0.010352679278288274,3.5454950092041586,0.00039187640844913046,0.01641449418412325,0.05699625124200153,50,0.002351117698178674,**,***
lot_width,D4a,"lot_width (scraped, inv.)",RF_NoACS,0.012013583597463452,0.003514079289971632,0.003231920393511743,3.717165689347231,0.00020147032132450884,0.005679136025279917,0.018348031169646985,50,0.00026442979673841786,***,***
lot_width,D4a,"lot_width (scraped, inv.)",GB_Full,0.036289741302610756,0.008227792416685744,0.006254578138901892,5.802108550998469,6.548614245605219e-09,0.02403099341187149,0.048548489193350024,50,1.375208991577096e-07,***,***
lot_width,D4a,"lot_width (scraped, inv.)",GB_NoACS,0.00963277401542219,0.003385124171952649,0.003068506903439521,3.139238176268958,0.0016938770953664102,0.0036186109983682036,0.015646937032476174,50,0.0019761899445941452,**,**
frontage_std,D4a,frontage_std (binary),RF_Full,0.044761816050581237,0.03003460920963491,0.027420895837444642,1.6323980192308918,0.10259566614482074,-0.008982152214634546,0.09850578431579701,50,0.12673582288477855,,
frontage_std,D4a,frontage_std (binary),RF_NoACS,0.00906765307340443,0.004497235885624396,0.003903622524661623,2.322881635229431,0.020185511957764603,0.0014166935158283307,0.01671861263098053,50,0.022310302690160877,*,*
frontage_std,D4a,frontage_std (binary),GB_Full,0.02804612119375322,0.014350794251896252,0.009549298495530174,2.936982356021337,0.0033142295946237093,0.009329840064891556,0.04676240232261488,50,0.013243363084272273,*,**
frontage_std,D4a,frontage_std (binary),GB_NoACS,0.010955353356754027,0.004256260548291254,0.0035333199941103206,3.100583410224794,0.00193139808024461,0.0040301734224425225,0.01788053329106553,50,0.00213470314132299,**,**
transparency_activation,D4b,transparency_activation (LLM),RF_Full,0.050295442415288494,0.05166752354242802,0.03891104550501874,1.292574942731914,0.19615811059576682,-0.02596880537534739,0.1265596902059244,50,0.22885112902839463,,
transparency_activation,D4b,transparency_activation (LLM),RF_NoACS,0.033971424430569316,0.0050057408643227564,0.004780689294129859,7.105967851180446,1.1948222697058905e-12,0.02460144559279858,0.04334140326834005,50,3.1364084579779626e-12,***,***
transparency_activation,D4b,transparency_activation (LLM),GB_Full,0.03666990463229247,0.022710385354990738,0.018884327924625206,1.9418167688390346,0.052159286109530655,-0.0003426979722169557,0.07368250723680189,50,0.08425730833078028,†,†
transparency_activation,D4b,transparency_activation (LLM),GB_NoACS,0.03397445559134834,0.004732524278320482,0.00403085171387341,8.428604672906932,3.498111845737835e-17,0.026074131405134905,0.04187477977756177,50,9.182543595061817e-17,***,***
setback_building_placement,D5,setback_building_placement (LLM),RF_Full,0.08918345823662177,0.05305614121893504,0.03825007540035707,2.3315890832411075,0.019722318676453125,0.014214688045980431,0.16415222842726312,50,0.043985121349067846,*,*
setback_building_placement,D5,setback_building_placement (LLM),RF_NoACS,0.032175929575532,0.004835591134427113,0.004591888551845559,7.007123368140096,2.432677553285023e-12,0.023175993392892922,0.04117586575817109,50,5.67624762433172e-12,***,***
setback_building_placement,D5,setback_building_placement (LLM),GB_Full,0.03887375377008692,0.021369661435407264,0.016229993662205722,2.3951798490600162,0.0166122146147474,0.007063550722850372,0.07068395681732348,50,0.0317142279008814,*,*
setback_building_placement,D5,setback_building_placement (LLM),GB_NoACS,0.03147250079945259,0.0046102919123568835,0.003935759341272821,7.996551127863018,1.2795265332577361e-15,0.02375855423874077,0.039186447360164404,50,2.9855619109347173e-15,***,***
side_setback,D5,"side_setback (scraped, inv.)",RF_Full,-0.05527928432377769,0.03517215953743287,0.028233258092559558,-1.9579491726583869,0.05023597710790878,-0.11061545335141845,5.6884703863065156e-05,50,0.08115042455892957,†,†
side_setback,D5,"side_setback (scraped, inv.)",RF_NoACS,0.021051844584814235,0.0044480324511378365,0.004329694871201539,4.862200503975032,1.1608794414776705e-06,0.012565798573211431,0.029537890596417038,50,1.7413191622165059e-06,***,***
side_setback,D5,"side_setback (scraped, inv.)",GB_Full,0.00013090884067183689,0.013670092210682877,0.012173008791516306,0.010754024983787963,0.9914196948832934,-0.023727749974189572,0.023989567655533246,50,0.9914196948832933,,
side_setback,D5,"side_setback (scraped, inv.)",GB_NoACS,0.021192788006830037,0.0042294431718499425,0.0037150115210117904,5.704635877160925,1.1659205617032461e-08,0.013911499223495561,0.02847407679016451,50,1.748880842554869e-08,***,***
rear_setback,D5,"rear_setback (scraped, inv.)",RF_Full,0.086775234069186,0.028507495211633857,0.022166764221886005,3.9146549853004635,9.053356976056136e-05,0.043329174540498394,0.1302212935978736,50,0.0019012049649717885,**,***
rear_setback,D5,"rear_setback (scraped, inv.)",RF_NoACS,0.027496213806755484,0.004631780304969525,0.004553289640570635,6.038757904122602,1.5530504843232708e-09,0.018571930100057712,0.036420497513453255,50,2.9649145609807896e-09,***,***
rear_setback,D5,"rear_setback (scraped, inv.)",GB_Full,0.04746226504515518,0.01450258667135332,0.010200579465229039,4.652898907061206,3.273007337106958e-06,0.027469496671867422,0.06745503341844294,50,3.436657703962306e-05,***,***
rear_setback,D5,"rear_setback (scraped, inv.)",GB_NoACS,0.02791617356974207,0.004411323293820643,0.003944760414752496,7.0767728923008875,1.4755004287696805e-12,0.02018458522918789,0.03564776191029625,50,3.0985509004163292e-12,***,***
form_based_design,D6,form_based_design (LLM),RF_Full,0.0662652526975782,0.09309592272773848,0.07109662612821331,0.9320449690267669,0.3513132860193462,-0.07308157393602928,0.2056120793311857,50,0.3882936319161195,,
form_based_design,D6,form_based_design (LLM),RF_NoACS,0.02863869933399327,0.005175429774699844,0.004899872011838417,5.844785183123205,5.0722238632604225e-09,0.019035126661934156,0.03824227200605239,50,8.876391760705738e-09,***,***
form_based_design,D6,form_based_design (LLM),GB_Full,-0.01434874517631943,0.034211476094319855,0.023338929785948006,-0.6147987636073433,0.5386876259219808,-0.06009220699448664,0.03139471664184777,50,0.5953915865453472,,
